id,text,date,source
1,The Government of India launched PM-Kisan scheme providing ₹6000 per year to small farmers.,2019-02-01,https://pib.gov.in
2,GST Council reduced the tax rate on electric vehicles in 2019 in certain categories.,2019-09-01,https://pib.gov.in
3,The Ministry of Health announced a national vaccination drive for COVID-19 starting Jan 2021.,2020-12-20,https://pib.gov.in
4,The central government approved 24x7 electricity supply projects in selected rural areas in 2018.,2018-07-10,https://pib.gov.in
5,The government increased MSP of wheat by 8% for the 2022 season.,2022-05-05,https://pib.gov.in
6,A federal directive mandated free textbooks for students up to grade 8 in 2020.,2020-06-15,https://pib.gov.in
7,The Ministry of Agriculture launched a crop-insurance scheme in 2016 covering smallholders.,2016-03-15,https://pib.gov.in
8,The government approved a relief package for farmers affected by floods in 2023.,2023-09-10,https://pib.gov.in
9,The electricity subsidy for domestic consumers in a particular state was implemented in 2024.,2024-01-12,state_govt_press_release
10,A 2017 policy allowed subsidised solar pumps for irrigation in select districts.,2017-11-20,https://pib.gov.in
11,The Ministry of Rural Development announced village electrification targets for 2022.,2021-12-01,https://pib.gov.in
12,In 2015 the government set up a loan-waiver scheme for small-scale farmers in certain states.,2015-08-05,state_govt_press_release
13,A central scheme funded micro-irrigation installations for farmers in 2018-2019.,2019-01-07,https://pib.gov.in
14,The national budget announced a special rural employment package in 2020.,2020-02-01,https://pib.gov.in
15,The government subsidised fertilizer costs for small farmers in the 2021 fiscal year.,2021-09-10,https://pib.gov.in
16,The Ministry announced free medical camps in 2022 for rural areas.,2022-10-10,https://pib.gov.in
17,The central government signed a power-grid expansion plan in 2023 to improve rural supply.,2023-06-18,https://pib.gov.in
18,A state government announced subsidised electricity for small-scale agro-industries in 2020.,2020-03-01,state_govt_press_release
19,The government passed a law in 2014 to protect groundwater in agricultural regions.,2014-09-12,https://pib.gov.in
20,The central government offered interest subvention for crop loans in 2019.,2019-07-01,https://pib.gov.in
21,A 2021 directive allowed zero-interest loans for women self-help groups in rural areas.,2021-04-22,https://pib.gov.in
22,The government launched a scheme in 2022 for setting up cold storage in rural hubs.,2022-05-18,https://pib.gov.in
23,"In 2019, the government approved free bus travel for certain categories of rural students.",2019-08-14,https://pib.gov.in
24,A central subsidy for solar rooftop installations for households was available in 2020.,2020-11-11,https://pib.gov.in
25,An energy efficiency program for agricultural pumps was rolled out in 2018.,2018-06-07,https://pib.gov.in
26,A 2023 press release described targeted electricity tariff rebates for smallholder farmers in one state.,2023-04-03,state_govt_press_release
27,The Government announced a 'Har Ghar Bijli' campaign in 2015 to extend rural electrification.,2015-01-18,https://pib.gov.in
28,A 2024 announcement allocated funds to upgrade rural distribution transformers in selected districts.,2024-07-02,https://pib.gov.in
29,The Department of Agriculture issued guidelines for precision farming subsidies in 2022.,2022-02-10,https://pib.gov.in
30,A 2018 circular limited free electricity schemes to demonstration projects in specific regions.,2018-08-09,https://pib.gov.in
